"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "XML", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"/Users/irvanev/Works/hvala-web/src/components/edit-advertisments-forms/FormsWithOutCondition.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/irvanev/Works/hvala-web/src/components/formsForAddingAdvertisements/ClothesForm.jsx", "JavaScript JSX", 0, 185, 0, 0, 0, 0, 0, 0, 10, 195
"/Users/irvanev/Works/hvala-web/src/components/formsForAddingAdvertisements/CountryRegion.jsx", "JavaScript JSX", 0, 130, 0, 0, 0, 0, 0, 0, 6, 136
"/Users/irvanev/Works/hvala-web/src/components/formsForAddingAdvertisements/DefaultForm.jsx", "JavaScript JSX", 0, 130, 0, 0, 0, 0, 0, 0, 12, 142
"/Users/irvanev/Works/hvala-web/src/components/formsForAddingAdvertisements/DefaultFormWithoutCondition.jsx", "JavaScript JSX", 0, 118, 0, 0, 0, 0, 0, 0, 11, 129
"/Users/irvanev/Works/hvala-web/src/components/formsForAddingAdvertisements/EstateForm.jsx", "JavaScript JSX", 0, 149, 0, 0, 0, 0, 0, 0, 12, 161
"/Users/irvanev/Works/hvala-web/src/components/formsForAddingAdvertisements/HomeApplianceForm.jsx", "JavaScript JSX", 0, 134, 0, 0, 0, 0, 0, 0, 10, 144
"/Users/irvanev/Works/hvala-web/src/components/formsForAddingAdvertisements/TransportForm.jsx", "JavaScript JSX", 0, 219, 0, 0, 0, 0, 0, 0, 10, 229
"/Users/irvanev/Works/hvala-web/src/components/formsForAddingAdvertisements/electronics-forms/ComputerForm.jsx", "JavaScript JSX", 0, 172, 0, 0, 0, 0, 0, 0, 12, 184
"/Users/irvanev/Works/hvala-web/src/components/formsForAddingAdvertisements/electronics-forms/ComputersAccsForm.jsx", "JavaScript JSX", 0, 172, 0, 0, 0, 0, 0, 0, 10, 182
"/Users/irvanev/Works/hvala-web/src/components/formsForAddingAdvertisements/electronics-forms/GameConsoleForm.jsx", "JavaScript JSX", 0, 159, 0, 0, 0, 0, 0, 0, 10, 169
"/Users/irvanev/Works/hvala-web/src/components/formsForAddingAdvertisements/electronics-forms/PhoneAndTabletsForm.jsx", "JavaScript JSX", 0, 171, 0, 0, 0, 0, 0, 0, 12, 183
"/Users/irvanev/Works/hvala-web/src/components/formsForAddingAdvertisements/electronics-forms/PhotoVideoForm.jsx", "JavaScript JSX", 0, 155, 0, 0, 0, 0, 0, 0, 10, 165
"/Users/irvanev/Works/hvala-web/src/components/formsForAddingAdvertisements/electronics-forms/TvForm.jsx", "JavaScript JSX", 0, 156, 0, 0, 0, 0, 0, 0, 10, 166
"/Users/irvanev/Works/hvala-web/src/components/profile-card/DropDownWithModal.jsx", "JavaScript JSX", 0, 48, 0, 0, 0, 0, 0, 1, 7, 56
"/Users/irvanev/Works/hvala-web/src/components/profile-card/ModalForNumberReports.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 6, 58
"/Users/irvanev/Works/hvala-web/src/components/profile-card/ProfileInfoForMobile.jsx", "JavaScript JSX", 0, 38, 0, 0, 0, 0, 0, 0, 5, 43
"/Users/irvanev/Works/hvala-web/src/components/profile-card/ProfileInfoForPc.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 4, 40
"/Users/irvanev/Works/hvala-web/src/components/profile-card/profileInfo.module.css", "CSS", 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"/Users/irvanev/Works/hvala-web/src/components/select-brands/SelectBrandsForComputers.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"/Users/irvanev/Works/hvala-web/src/components/select-brands/SelectBrandsForComputersAccs.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"/Users/irvanev/Works/hvala-web/src/components/select-brands/SelectBrandsForGameConsole.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"/Users/irvanev/Works/hvala-web/src/components/select-brands/SelectBrandsForMobile.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/irvanev/Works/hvala-web/src/components/select-brands/SelectBrandsForVideo.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/irvanev/Works/hvala-web/src/components/select-category-form/SelectCategory.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
